Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",-59.000000,33.750000,90.000000,bottom
"F1","Polyfuse","C_Disc_D6.0mm_W2.5mm_P5.00mm",51.800000,35.200000,180.000000,top
"F2","Polyfuse","C_Disc_D6.0mm_W2.5mm_P5.00mm",79.600000,35.200000,180.000000,top
"F3","Polyfuse","C_Disc_D6.0mm_W2.5mm_P5.00mm",23.600000,30.200000,180.000000,top
"F4","Polyfuse","C_Disc_D6.0mm_W2.5mm_P5.00mm",51.700000,30.200000,180.000000,top
"F5","Polyfuse","C_Disc_D6.0mm_W2.5mm_P5.00mm",79.600000,30.200000,180.000000,top
"J1","PJ-202A","Barrel_Jack_5.5mmODx2.1mmID_PJ-202A",35.900000,53.900000,0.000000,top
"J2","T70243500000G","TerminalBlock_2P_P7.62mm",53.000000,54.300000,180.000000,top
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",50.500000,46.300000,-90.000000,top
"J4","PJ-202A","Barrel_Jack_5.5mmODx2.1mmID_PJ-202A",63.800000,53.900000,0.000000,top
"J5","T70243500000G","TerminalBlock_2P_P7.62mm",81.000000,54.300000,180.000000,top
"J6","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",78.500000,46.300000,-90.000000,top
"J7","PJ-202A","Barrel_Jack_5.5mmODx2.1mmID_PJ-202A",8.100000,53.900000,0.000000,top
"J8","PJ-202A","Barrel_Jack_5.5mmODx2.1mmID_PJ-202A",6.700000,11.300000,180.000000,top
"J9","T70243500000G","TerminalBlock_2P_P7.62mm",25.100000,54.300000,180.000000,top
"J10","T70243500000G","TerminalBlock_2P_P7.62mm",17.500000,10.800000,0.000000,top
"J11","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",22.500000,46.300000,-90.000000,top
"J12","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",20.000000,18.900000,90.000000,top
"J13","PJ-202A","Barrel_Jack_5.5mmODx2.1mmID_PJ-202A",34.600000,11.300000,180.000000,top
"J14","T70243500000G","TerminalBlock_2P_P7.62mm",45.400000,10.800000,0.000000,top
"J15","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",47.860000,18.900000,90.000000,top
"J16","PJ-202A","Barrel_Jack_5.5mmODx2.1mmID_PJ-202A",62.800000,11.300000,180.000000,top
"J17","T70243500000G","TerminalBlock_2P_P7.62mm",73.400000,10.800000,0.000000,top
"J18","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",76.060000,18.900000,90.000000,top
